iter	CrossEntropy
0	0.6359485449
1	0.5864691713
2	0.5442883934
3	0.5083036566
4	0.477789934
5	0.4515516772
6	0.42929443
7	0.4102592564
8	0.3940934926
9	0.3801692984
10	0.3680944126
11	0.3577951398
12	0.3488851579
13	0.3410562156
14	0.3340969317
15	0.3279801613
16	0.3226233833
17	0.3179804979
18	0.3137618175
19	0.3099553975
20	0.306895051
21	0.304156448
22	0.3013589527
23	0.2988976402
24	0.2965791522
25	0.294595943
26	0.2927540422
27	0.2910715648
28	0.2895972018
29	0.2881049849
30	0.2868416001
31	0.2856310811
32	0.2845768716
33	0.2834850629
34	0.2825284621
35	0.2817599293
36	0.2808898976
37	0.2801243374
38	0.2794428901
39	0.2787013988
40	0.2781234092
41	0.2775623961
42	0.2770304742
43	0.2765148207
44	0.2761616089
45	0.2758208256
46	0.2754099956
47	0.2750925
48	0.2746937049
49	0.2743527145
50	0.2740397612
51	0.2737187921
52	0.2734138636
53	0.2731221053
54	0.2728921857
55	0.2726833835
56	0.2724522745
57	0.2722159713
58	0.2720358358
59	0.2718605564
60	0.271695663
61	0.2715240609
62	0.2714029555
63	0.2712553374
64	0.271086665
65	0.2708994334
66	0.2708261481
67	0.2707105919
68	0.2705100512
69	0.2703960637
70	0.270196955
71	0.2700958864
72	0.270014101
73	0.2699713355
74	0.269863213
75	0.269781086
76	0.2697112543
77	0.2696184305
78	0.2694974183
79	0.2694144989
80	0.2693597923
81	0.2692918258
82	0.2692155694
83	0.2690871644
84	0.2690135174
85	0.2689346898
86	0.26887569
87	0.268824376
88	0.2687552868
89	0.2686987492
90	0.2686481286
91	0.2686051004
92	0.2685529706
93	0.268507309
94	0.2684598759
95	0.2683981189
96	0.2683614984
97	0.268349536
98	0.2683002494
99	0.2682674877
100	0.2681746341
101	0.268140194
102	0.2681066001
103	0.2680773424
104	0.2680488951
105	0.2680141286
106	0.2679770316
107	0.2679501346
108	0.2678928023
109	0.2678570658
110	0.2678286519
111	0.2678004583
112	0.2677708402
113	0.2677066863
114	0.2676766381
115	0.2676575559
116	0.2676309714
117	0.2675817801
118	0.2675621403
119	0.2675397253
120	0.2675149004
121	0.2674712799
122	0.2674452727
123	0.2674242513
124	0.2674007131
125	0.2673848718
126	0.2673334654
127	0.2672956639
128	0.2672379432
129	0.2671985684
130	0.2671860285
131	0.2671648027
132	0.2671410846
133	0.2671286578
134	0.2670855432
135	0.2670706869
136	0.2670483219
137	0.2670262861
138	0.2669935108
139	0.266977763
140	0.2669608741
141	0.2669385249
142	0.2668993343
143	0.2668844093
144	0.2668631672
145	0.2668522449
146	0.2668333691
147	0.2668106716
148	0.2667963963
149	0.2667777856
150	0.2667433022
151	0.2667284562
152	0.2667168205
153	0.2667028167
154	0.2666913
155	0.2666754278
156	0.2666543146
157	0.2666289019
158	0.2666093047
159	0.2665957863
160	0.2665856665
161	0.2665676597
162	0.2665414864
163	0.2665284051
164	0.266509268
165	0.2664947482
166	0.2664746752
167	0.266448429
168	0.2664306307
169	0.2664090544
170	0.2664006908
171	0.2663944722
172	0.26638094
173	0.266364629
174	0.2663562083
175	0.2663277572
176	0.2663143985
177	0.2663002288
178	0.2662910037
179	0.2662654864
180	0.2662534279
181	0.2662440422
182	0.2662323455
183	0.2662251368
184	0.266206402
185	0.2661778525
186	0.2661688626
187	0.266160023
188	0.2661430197
189	0.2661306804
190	0.2661201593
191	0.2660906792
192	0.2660786439
193	0.2660710764
194	0.2660514459
195	0.2660387131
196	0.2660246816
197	0.2660119392
198	0.2660015494
199	0.2659894975
200	0.2659812336
201	0.2659652689
202	0.2659408303
203	0.2659272967
204	0.265919522
205	0.2659109519
206	0.2658916923
207	0.2658844704
208	0.2658760931
209	0.2658577169
210	0.2658454455
211	0.2658366435
212	0.2658221071
213	0.2658186965
214	0.2658076059
215	0.2657952181
216	0.2657890869
217	0.2657696783
218	0.2657483671
219	0.2657428598
220	0.2657362473
221	0.2657275069
222	0.2657192199
223	0.2657094671
224	0.265702692
225	0.2656845488
226	0.2656788785
227	0.2656679602
228	0.2656539214
229	0.2656469133
230	0.2656387788
231	0.2656322511
232	0.2656245234
233	0.265614614
234	0.2656053937
235	0.265600233
236	0.2655941414
237	0.2655860573
238	0.2655745706
239	0.2655614954
240	0.2655447296
241	0.2655336134
242	0.2655214821
243	0.2655115917
244	0.2655032354
