iter	Passed	Remaining
0	191	191800
1	215	107483
2	238	79380
3	299	74683
4	322	64181
5	343	56977
6	364	51717
7	384	47690
8	406	44715
9	427	42292
10	449	40382
11	470	38710
12	491	37295
13	513	36134
14	534	35124
15	556	34213
16	577	33411
17	599	32724
18	622	32130
19	644	31557
20	675	31482
21	696	30940
22	717	30473
23	740	30123
24	763	29790
25	786	29450
26	829	29909
27	887	30797
28	907	30399
29	931	30110
30	950	29703
31	971	29379
32	993	29106
33	1014	28832
34	1036	28589
35	1057	28307
36	1082	28167
37	1103	27934
38	1138	28057
39	1185	28440
40	1204	28175
41	1225	27952
42	1247	27771
43	1269	27593
44	1290	27397
45	1308	27139
46	1330	26976
47	1352	26816
48	1373	26665
49	1394	26503
50	1416	26361
51	1439	26238
52	1461	26111
53	1482	25978
54	1503	25835
55	1534	25869
56	1566	25923
57	1587	25789
58	1609	25662
59	1631	25559
60	1652	25439
61	1673	25322
62	1694	25199
63	1715	25095
64	1737	24996
65	1759	24901
66	1775	24717
67	1795	24612
68	1817	24521
69	1839	24434
70	1862	24370
71	1884	24284
72	1904	24188
73	1920	24032
74	1943	23968
75	1965	23893
76	1986	23809
77	2008	23736
78	2029	23661
79	2051	23587
80	2071	23499
81	2093	23431
82	2114	23361
83	2136	23293
84	2157	23227
85	2180	23169
86	2201	23101
87	2223	23042
88	2244	22979
89	2266	22921
90	2288	22858
91	2309	22792
92	2330	22730
93	2351	22666
94	2373	22608
95	2394	22549
96	2416	22496
97	2431	22382
98	2453	22333
99	2474	22270
100	2497	22227
101	2519	22177
102	2539	22118
103	2560	22060
104	2582	22014
105	2603	21960
106	2625	21912
107	2646	21859
108	2667	21805
109	2688	21753
110	2709	21703
111	2730	21648
112	2751	21600
113	2773	21554
114	2795	21509
115	2816	21463
116	2837	21415
117	2859	21372
118	2880	21322
119	2900	21272
120	2922	21226
121	2943	21184
122	2964	21140
123	2984	21082
124	3005	21036
125	3026	20991
126	3048	20952
127	3070	20917
128	3093	20885
129	3115	20850
130	3137	20809
131	3158	20772
