iter	CrossEntropy
0	0.6363384152
1	0.5870625399
2	0.5450083306
3	0.5091636857
4	0.4787079632
5	0.4524844656
6	0.4301737128
7	0.4110351952
8	0.3948365886
9	0.3808748863
10	0.3687565097
11	0.3584201623
12	0.3494754642
13	0.341692434
14	0.3348545832
15	0.3287358846
16	0.3233179039
17	0.3184567427
18	0.3141471348
19	0.3103575585
20	0.3070231823
21	0.304041697
22	0.3013395739
23	0.2990936981
24	0.2968259264
25	0.2950284435
26	0.2931807606
27	0.2913956272
28	0.2898270537
29	0.288377096
30	0.287130151
31	0.2858886966
32	0.2848136772
33	0.2837792597
34	0.2829115602
35	0.2820399072
36	0.2813733337
37	0.2806593726
38	0.2799631506
39	0.27936564
40	0.278767946
41	0.2781603569
42	0.2776661405
43	0.2772052089
44	0.2768507537
45	0.2763844806
46	0.2759634646
47	0.2756364864
48	0.2752396274
49	0.2748856034
50	0.2745581982
51	0.2742149836
52	0.2738966872
53	0.2735817646
54	0.2733509503
55	0.2731362275
56	0.2728872278
57	0.2726361053
58	0.2724419289
59	0.2722519395
60	0.2720531056
61	0.2718487795
62	0.2717271724
63	0.2715909532
64	0.2714467497
65	0.2713022118
66	0.2710874134
67	0.2708845458
68	0.2706360254
69	0.2705297492
70	0.2704235264
71	0.2702960217
72	0.2701780017
73	0.2700472431
74	0.269956002
75	0.269860425
76	0.2696976334
77	0.2696342445
78	0.2695327681
79	0.269438643
80	0.2693135729
81	0.2692316438
82	0.2691095088
83	0.2690334958
84	0.2689601998
85	0.2689068664
86	0.2687962269
87	0.2687430121
88	0.2686885567
89	0.2686231949
90	0.2685728718
91	0.2685296518
92	0.2684944797
93	0.2684364604
94	0.2683689278
95	0.2683335541
96	0.2682975454
97	0.2682207117
98	0.2681297253
99	0.2680919615
100	0.2680594281
101	0.2680190864
102	0.2679521782
103	0.267925252
104	0.2678901151
105	0.2678602058
106	0.2678205206
107	0.2677816455
108	0.2677405593
109	0.2677199613
110	0.2676900685
111	0.2676654472
112	0.2676482786
113	0.2676233113
114	0.2675953116
115	0.2675805203
116	0.2675677867
117	0.2675550121
118	0.2675179938
119	0.2674874608
120	0.2674615909
121	0.2674423693
122	0.267415453
123	0.2673963853
124	0.2673562236
125	0.2673337833
126	0.2673191863
127	0.2673008541
128	0.267266403
129	0.2672079622
130	0.2671950238
131	0.2671831836
132	0.2671705646
133	0.2671349517
134	0.2671230074
135	0.267091016
136	0.2670530075
137	0.2670283327
138	0.2670057001
139	0.2669549019
140	0.2669442169
141	0.2669207563
142	0.2669065463
143	0.2668925005
144	0.266887028
145	0.2668748373
146	0.2668622285
147	0.266846301
148	0.2668084634
149	0.2667924016
150	0.2667826079
151	0.2667708045
152	0.2667423907
153	0.2667236396
154	0.2666990405
155	0.2666690275
156	0.2666563935
157	0.2666205975
158	0.2666106603
159	0.2665942481
160	0.2665821698
161	0.2665677621
162	0.2665516698
163	0.2665345626
164	0.2665230326
165	0.2665152517
166	0.2665001111
167	0.2664717691
168	0.2664371799
169	0.2664228136
170	0.2663949112
171	0.2663853499
172	0.2663618981
173	0.2663485843
174	0.2663360567
175	0.2663212022
176	0.2663135503
177	0.2662951782
178	0.2662857179
179	0.2662781058
180	0.2662638365
181	0.2662561866
182	0.2662409127
183	0.266227445
184	0.2662067341
185	0.2661932882
186	0.2661732487
187	0.2661632478
188	0.2661540876
189	0.2661464122
190	0.2661244602
191	0.2661091558
192	0.2660886857
193	0.2660787377
194	0.2660664818
195	0.2660493728
196	0.2660261776
197	0.2660159954
198	0.2660070031
199	0.2660035645
200	0.2659906495
201	0.2659725832
202	0.2659663605
203	0.2659459975
204	0.2659316874
205	0.26592312
206	0.2659141096
207	0.2659047842
208	0.2658947707
209	0.2658876626
210	0.265878707
211	0.2658716237
212	0.2658610634
213	0.2658473339
214	0.2658297008
215	0.2658144999
216	0.2658065734
217	0.2657958798
218	0.2657875144
219	0.2657771945
220	0.2657711098
221	0.2657656742
222	0.265758983
223	0.2657490038
224	0.2657430044
225	0.265732624
226	0.2657218211
227	0.2657153868
228	0.2657074254
229	0.2656985689
230	0.2656919453
231	0.265684548
232	0.2656683781
233	0.2656561724
234	0.2656477042
235	0.2656371845
236	0.265630305
237	0.2656244066
238	0.2656204173
239	0.2656152403
240	0.2656054854
241	0.2655951115
242	0.2655912254
243	0.2655874308
244	0.2655750576
245	0.2655648175
246	0.2655561527
247	0.2655448457
248	0.2655385575
249	0.2655355858
250	0.2655296582
251	0.2655248068
252	0.2655204699
253	0.2655054902
254	0.2655005996
255	0.2654917201
256	0.2654746508
257	0.2654684816
258	0.2654541393
259	0.2654495048
260	0.2654407712
261	0.2654365715
262	0.265429192
263	0.2654240842
264	0.2654046111
265	0.2653953329
266	0.2653869639
267	0.2653705666
268	0.265369239
269	0.265363296
270	0.2653542236
271	0.2653467073
272	0.2653359461
273	0.2653282975
274	0.2653249418
275	0.2653161111
276	0.2653088124
277	0.265302584
278	0.2652945786
279	0.2652874087
280	0.265282613
281	0.2652740218
282	0.265264154
283	0.265258346
284	0.2652520638
285	0.2652427454
286	0.2652285267
287	0.265223277
288	0.2652089307
289	0.2652080419
290	0.265199033
291	0.2651926447
292	0.2651848108
293	0.2651812652
294	0.265176475
295	0.2651654936
296	0.2651521027
297	0.2651448482
298	0.2651344358
299	0.2651226777
300	0.2651154136
301	0.2651078903
302	0.2651024298
303	0.2650904911
304	0.2650826568
305	0.2650699427
306	0.2650652515
307	0.2650590743
308	0.2650415107
309	0.265037494
310	0.2650293484
311	0.2650238947
312	0.2650138191
313	0.2650059442
314	0.2649952467
315	0.2649867433
316	0.2649782981
317	0.2649706931
318	0.264968323
319	0.2649632484
320	0.264955419
321	0.2649479564
322	0.2649376249
323	0.2649288641
324	0.2649210337
325	0.2649156196
326	0.2649124876
327	0.2649070553
328	0.2648910723
329	0.2648834814
330	0.2648717951
331	0.2648644693
332	0.2648595054
333	0.2648523541
334	0.2648437647
335	0.2648344621
336	0.2648280614
337	0.2648220273
338	0.2648187036
339	0.2648152018
340	0.2648088876
341	0.2647986103
342	0.2647914968
343	0.2647829097
344	0.2647719756
345	0.2647620404
346	0.2647588796
347	0.2647549283
348	0.2647527533
349	0.2647473846
350	0.2647405197
351	0.2647353077
352	0.264723369
353	0.2647167207
354	0.2647074408
355	0.2647015657
356	0.2646930302
357	0.2646837704
358	0.2646710556
359	0.2646607552
360	0.2646487563
361	0.2646418253
362	0.2646353215
363	0.2646292348
364	0.2646243093
365	0.2646187456
366	0.2646113618
367	0.2646033061
368	0.2645981048
369	0.2645934721
370	0.264583727
371	0.2645779044
372	0.2645721578
373	0.2645639245
374	0.2645583868
375	0.2645497596
376	0.2645401499
377	0.2645321529
378	0.2645280859
379	0.2645232988
380	0.2645162382
381	0.26450958
382	0.2645046177
383	0.2644983295
384	0.26449178
385	0.2644860956
386	0.2644816606
387	0.2644705962
388	0.2644640915
389	0.2644578185
390	0.2644554752
391	0.2644500249
392	0.2644426538
393	0.2644368887
394	0.2644291425
395	0.2644238781
396	0.2644173625
