iter	Passed	Remaining
0	38	38148
1	71	35494
2	105	35027
3	137	34197
4	170	33866
5	201	33415
6	235	33341
7	262	32507
8	289	31919
9	316	31376
10	344	31005
11	371	30596
12	399	30327
13	424	29875
14	451	29623
15	479	29462
16	507	29346
17	534	29176
18	562	29065
19	591	28974
20	620	28914
21	651	28953
22	682	28992
23	714	29068
24	748	29195
25	775	29034
26	805	29033
27	836	29046
28	867	29047
29	899	29099
30	927	28986
31	954	28884
32	982	28785
33	1009	28695
34	1037	28601
35	1064	28497
36	1091	28404
37	1119	28352
38	1147	28274
39	1175	28201
40	1201	28096
41	1228	28021
42	1255	27951
43	1282	27860
44	1309	27791
45	1335	27707
46	1363	27645
47	1389	27559
48	1416	27497
49	1442	27411
50	1469	27345
51	1497	27292
52	1524	27235
53	1552	27203
54	1579	27141
55	1608	27122
56	1637	27097
57	1668	27101
58	1697	27066
59	1726	27051
60	1754	27005
61	1783	26979
62	1811	26937
63	1838	26889
64	1863	26812
65	1892	26784
66	1921	26755
67	1949	26724
68	1978	26699
69	2006	26662
70	2033	26612
71	2063	26592
72	2091	26560
73	2123	26571
74	2151	26536
75	2181	26516
76	2213	26539
77	2243	26514
78	2270	26472
79	2299	26444
80	2327	26403
81	2355	26366
82	2383	26328
83	2410	26288
84	2439	26255
85	2465	26203
86	2493	26165
87	2521	26134
88	2550	26110
89	2579	26079
90	2607	26050
91	2635	26010
92	2663	25974
93	2691	25937
94	2718	25894
95	2745	25858
96	2776	25849
97	2806	25827
98	2833	25792
99	2861	25756
100	2889	25715
101	2916	25678
102	2943	25635
103	2969	25586
104	2997	25552
105	3025	25515
106	3054	25488
107	3081	25448
108	3112	25441
109	3141	25418
110	3170	25395
111	3198	25360
112	3224	25314
113	3253	25285
114	3280	25248
115	3308	25212
116	3332	25153
117	3359	25111
118	3386	25073
119	3414	25043
120	3442	25009
121	3468	24964
122	3496	24927
123	3524	24896
124	3551	24859
125	3577	24816
126	3604	24777
127	3632	24748
128	3661	24722
129	3688	24687
130	3715	24649
131	3742	24612
132	3770	24582
133	3795	24531
134	3821	24487
135	3850	24462
136	3876	24420
137	3903	24384
